Election for,Edinburgh 2025-06-26 - Ward 9 - Fountainbridge/Craiglockhart,,,,,,,,,,,,,,,,,,,,,,,,,
Date,27 Jun 2025,,,,,,,,,,,,,,,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,,,,,,,,,,,,,,,
Valid votes,6225,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,,,,,,,
Quota,3113,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,Stage,11,Stage,12,Stage,13,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Derrick EMMS (Ind),,Mark ROWBOTHAM (Ind),,Lukasz FURMANIAK (Libtn),,Richard Crewe LUCAS (ScFam),,Steve Christopher WEST (Ind),,Bonnie Prince BOB (Ind),,Marc WILKINSON (Ind),,Gary NEILL (RUK),,Murray VISENTIN (SNP),,Mark HOOLEY (C),,Q MANIVANNAN (Grn),,Catriona MUNRO (Lab),,
Catriona MUNRO (Lab),1293,,1293,2,1295,2,1297,7,1304,3,1307,7,1314,21,1335,33,1368,134,1502,166,1668,551,2219,-2219,-,
Kevin Joseph MCKAY (LD),1269,1,1270,,1270,6,1276,3,1279,6,1285,3,1288,33,1321,43,1364,116,1480,387,1867,449,2316,1093,3409,Elected
Q MANIVANNAN (Grn),1133,2,1135,1,1136,,1136,2,1138,19,1157,9,1166,9,1175,12,1187,408,1595,41,1636,-1636,-,,-,
Murray VISENTIN (SNP),905,,905,,905,2,907,2,909,4,913,6,919,11,930,20,950,-950,-,,-,,-,,-,
Mark HOOLEY (C),857,1,858,3,861,1,862,3,865,,865,3,868,16,884,196,1080,29,1109,-1109,-,,-,,-,
Gary NEILL (RUK),489,,489,1,490,1,491,7,498,1,499,1,500,12,512,-512,-,,-,,-,,-,,-,
Marc WILKINSON (Ind),111,,111,7,118,1,119,1,120,4,124,6,130,-130,-,,-,,-,,-,,-,,-,
Steve Christopher WEST (Ind),39,1,40,5,45,,45,,45,-45,-,,-,,-,,-,,-,,-,,-,,-,
Bonnie Prince BOB (Ind),36,2,38,4,42,1,43,3,46,2,48,-48,-,,-,,-,,-,,-,,-,,-,
Richard Crewe LUCAS (ScFam),34,,34,,34,5,39,-39,-,,-,,-,,-,,-,,-,,-,,-,,-,
Lukasz FURMANIAK (Libtn),25,1,26,,26,-26,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Mark ROWBOTHAM (Ind),25,,25,-25,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Derrick EMMS (Ind),9,-9,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,1,1,2,3,7,10,11,21,6,27,13,40,28,68,208,276,263,539,515,1054,636,1690,1126,2816,
Totals,6225,,6225,,6225,,6225,,6225,,6225,,6225,,6225,,6225,,6225,,6225,,6225,,6225,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,3112.5,,,,,,,,,,,,,,,,2974.5,,2843,,2585.5,,2267.5,,,
,1819.5,,,,,,,,,,,,,,,,1606.5,,1248,,718.5,,-48.5,,,
