"Title","Wardname","Partyname","Surname","Forename","Votes","Elected","Electorate","Turnout","Electionyear","SpoiltPapers"
"ElectionResults","Adel and Wharfedale","Liberal Democrats","Dowling","Ian George",1159,"FALSE",16027,40.1,2019,24
"ElectionResults","Adel and Wharfedale","The Conservative Party Candidate","Flynn","Billy",2952,"TRUE",16027,40.1,2019,24
"ElectionResults","Adel and Wharfedale","Labour and Co-operative Party","Gill","Nigel James",1235,"FALSE",16027,40.1,2019,24
"ElectionResults","Adel and Wharfedale","UKIP Make Brexit Happen","Greenwood","Andrew",491,"FALSE",16027,40.1,2019,24
"ElectionResults","Adel and Wharfedale","Green Party","Jeffries","Lesley Evelyn",491,"FALSE",16027,40.1,2019,24
"ElectionResults","Alwoodley","The Conservative Party Candidate","Harrand","Peter Mervyn",3417,"TRUE",17484,36,2019,52
"ElectionResults","Alwoodley","Alliance for Green Socialism","Jackson","Brian",60,"FALSE",17484,36,2019,52
"ElectionResults","Alwoodley","Women's Equality Party","Jennings","Louise Mary",186,"FALSE",17484,36,2019,52
"ElectionResults","Alwoodley","Green Party","Jones","Gideon Matthew William",335,"FALSE",17484,36,2019,52
"ElectionResults","Alwoodley","Labour Party","McKenna","Andrea Susan",1663,"FALSE",17484,36,2019,52
"ElectionResults","Alwoodley","Liberal Democrats","Taylor","Alan",577,"FALSE",17484,36,2019,52
"ElectionResults","Ardsley and Robin Hood","Green Party","Daley","Rich",249,"FALSE",17463,28.1,2019,30
"ElectionResults","Ardsley and Robin Hood","UK Independence Party","Dove","Lindon",596,"FALSE",17463,28.1,2019,30
"ElectionResults","Ardsley and Robin Hood","The Conservative Party Candidate","Foster","Mike",1238,"FALSE",17463,28.1,2019,30
"ElectionResults","Ardsley and Robin Hood","Independent","Leadley","Tom",798,"FALSE",17463,28.1,2019,30
"ElectionResults","Ardsley and Robin Hood","Labour and Co-operative Party","Mulherin","Lisa Marie",1738,"TRUE",17463,28.1,2019,30
"ElectionResults","Ardsley and Robin Hood","Liberal Democrats","Ward","Ben",225,"FALSE",17463,28.1,2019,30
"ElectionResults","Ardsley and Robin Hood","Social Democratic Party","Whetstone","Daniel Paul",28,"FALSE",17463,28.1,2019,30
"ElectionResults","Armley","Socialist Alternative","Brown","Nina Charlotte",53,"FALSE",16659,24.7,2019,30
"ElectionResults","Armley","Labour Party","Cunningham","Lou",2477,"TRUE",16659,24.7,2019,30
"ElectionResults","Armley","The For Britain Movement","Miller","Jim",366,"FALSE",16659,24.7,2019,30
"ElectionResults","Armley","The Conservative Party Candidate","Trigg","Cormac",415,"FALSE",16659,24.7,2019,30
"ElectionResults","Armley","Liberal Democrats","Walker","Dan",226,"FALSE",16659,24.7,2019,30
"ElectionResults","Armley","Green Party","Whittaker","Keith Duncan",544,"FALSE",16659,24.7,2019,30
"ElectionResults","Beeston and Holbeck","Liberal Democrats","Gaines","Jarrod Antony",187,"FALSE",17049,25.2,2019,17
"ElectionResults","Beeston and Holbeck","Green Party","Hall","Alaric Timothy Peter",302,"FALSE",17049,25.2,2019,17
"ElectionResults","Beeston and Holbeck","UKIP","Palfreman","Bill",349,"FALSE",17049,25.2,2019,17
"ElectionResults","Beeston and Holbeck","Labour Party","Scopes","Andrew Timothy",2033,"TRUE",17049,25.2,2019,17
"ElectionResults","Beeston and Holbeck","Save Our Beeston and Holbeck Independents","Walton","Laura Elizabeth",1079,"FALSE",17049,25.2,2019,17
"ElectionResults","Beeston and Holbeck","The Conservative Party Candidate","Winfield","Robert James William",326,"FALSE",17049,25.2,2019,17
"ElectionResults","Bramley and Stanningley","Liberal Democrats","Bee","Liz",387,"FALSE",16852,23.9,2019,28
"ElectionResults","Bramley and Stanningley","Labour Party","Heselwood","Julie Caroline",1942,"TRUE",16852,23.9,2019,28
"ElectionResults","Bramley and Stanningley","English Democrats","Locke","Dean Andrew",109,"FALSE",16852,23.9,2019,28
"ElectionResults","Bramley and Stanningley","Green Party","Lord","Clive Richard",351,"FALSE",16852,23.9,2019,28
"ElectionResults","Bramley and Stanningley","The For Britain Movement","Murgatroyd","Anne",218,"FALSE",16852,23.9,2019,28
"ElectionResults","Bramley and Stanningley","The Conservative Party Candidate","Nancolas","Alex",417,"FALSE",16852,23.9,2019,28
"ElectionResults","Bramley and Stanningley","UK Independence Party (UKIP)","Woodhead","David Peter",581,"FALSE",16852,23.9,2019,28
"ElectionResults","Burmantofts and Richmond Hill","Green Party","Barlow","John David",261,"FALSE",16119,22.8,2019,38
"ElectionResults","Burmantofts and Richmond Hill","Liberal Democrats","Hollingsworth","David Ewan",392,"FALSE",16119,22.8,2019,38
"ElectionResults","Burmantofts and Richmond Hill","East Leeds Independents Party","Holloran","Geoff",718,"FALSE",16119,22.8,2019,38
"ElectionResults","Burmantofts and Richmond Hill","Labour Party","Ragan","Denise",2052,"TRUE",16119,22.8,2019,38
"ElectionResults","Burmantofts and Richmond Hill","The Conservative Party Candidate","Singh","Louisa Mary",211,"FALSE",16119,22.8,2019,38
"ElectionResults","Calverley and Farsley","Liberal Democrats","Arbuckle","Kate",242,"FALSE",18123,36.9,2019,55
"ElectionResults","Calverley and Farsley","Labour and Co-operative Party","Carlill","Peter John",2891,"TRUE",18123,36.9,2019,55
"ElectionResults","Calverley and Farsley","Green Party","Graham","Ellen Jean",643,"FALSE",18123,36.9,2019,55
"ElectionResults","Calverley and Farsley","The Conservative Party Candidate","Singh","Jas",2864,"FALSE",18123,36.9,2019,55
"ElectionResults","Chapel Allerton","The Conservative Party Candidate","Ahad","Shaz",404,"FALSE",17687,33.7,2019,69
"ElectionResults","Chapel Allerton","Alliance for Green Socialism","Davies","Mike",185,"FALSE",17687,33.7,2019,69
"ElectionResults","Chapel Allerton","Labour Party","Dowson","Jane Alice",4243,"TRUE",17687,33.7,2019,69
