"Title","Wardname","Partyname","Surname","Forename","Votes","Elected","Electorate","Turnout","Electiontype","Electionyear","SpoiltPapers"
"ElectionResults","Adel and Wharfedale","Conservative Party Candidate","Anderson","Barry John",4856,"TRUE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Conservative Party Candidate","Anderson","Caroline Helen",4269,"TRUE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Conservative Party Candidate","Flynn","Billy",3881,"TRUE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Labour Party","Gill","Nigel James",1556,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Liberal Democrats","Jackson","Peter",977,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Labour Party","Montgomerie","Geraldine Robertshaw",1435,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Labour Party","Rontree","Andy",1264,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Green Party","Swales","Liddy",591,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Liberal Democrats","Thornley","Ed",715,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Adel and Wharfedale","Liberal Democrats","Trewhella","Jane Sharon",883,"FALSE",15984,45.2,"Local",2018,10
"ElectionResults","Alwoodley","Conservative Party Candidate","Buckley","Neil Alan",4111,"TRUE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Conservative Party Candidate","Cohen","Dan",4209,"TRUE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Conservative Party Candidate","Harrand","Peter Mervyn",3896,"TRUE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Labour Party","Hendrickson","Claude",2141,"FALSE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Alliance for Green Socialism","Jackson","Brian",194,"FALSE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Labour Party","Khan","Mumtaz Ahmed",2019,"FALSE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Green Party","Moss","Miriam Leontine",639,"FALSE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Liberal Democrats","Parker","Roderic",633,"FALSE",17605,41.5,"Local",2018,19
"ElectionResults","Alwoodley","Labour Party","White","Keith Michael",2389,"FALSE",17605,41.5,"Local",2018,19
"ElectionResults","Ardsley and Robin Hood","Conservative Party Candidate","Baldwin","Kirsty Elise",1686,"FALSE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","The Green Party Candidate","Carter","Emma Louise",503,"FALSE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Independent","Dunn","Jack",1694,"FALSE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Conservative Party Candidate","Foster","Mike",1897,"FALSE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Labour and Co-operative Party","Garner","Ben",2074,"TRUE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Liberal Democrats","Hall","George Rome",332,"FALSE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Labour and Co-operative Party","Mulherin","Lisa Marie",2013,"TRUE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Labour and Co-operative Party","Renshaw","Karen",2371,"TRUE",17530,30.9,"Local",2018,14
"ElectionResults","Ardsley and Robin Hood","Conservative Party Candidate","Stephenson","Cameron Jake",1610,"FALSE",17530,30.9,"Local",2018,14
"ElectionResults","Armley","Green Party","Binns","Andrea Kay",732,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Trade Unionists and Socialists Against Cuts","Hooper","Rob",175,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Green Party","Jones","Gideon Matthew William",545,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Conservative Party Candidate","Leech","Matthew James",657,"FALSE",16704,26.8,"Local",2018,11
"ElectionResults","Armley","Labour Party","Lowe","Alison Natalie Kay",2447,"TRUE",16704,26.8,"Local",2018,11
