"Polling","Council","ID","Ward","ID","Defending","Outgoing councillor","Cause","Remarks","Prev results","C cand","Lab cand","LD cand","Grn cand","SNP/PC cand","Other cand"
2023-11-09,"Hackney",7,"Elected Mayor",21605,"Lab","Philip Glanville","Resignation",,"andrewteale.me.uk/iz3v","Simche Steinberger","Caroline Woodley","Simon de Deney","Zoë Garbett",,"Peter Smorthit (Ind), Annoesjka Valent (TUSC)"
2023-11-09,"Lewisham",27,"Deptford",21820,"Lab","Stephen Hayes","Resignation",,"andrewteale.me.uk/ihbw","Siama Qadar","Dawn Atkinson","Alan Harding","Tim Crossley",,
2023-11-09,"Lincs CC",389,"Grantham N",18944,"C","Ray Wootten","Death",,"andrewteale.me.uk/icpt","Paul Martin","Jonathan Cook","Nat Sweet","Anne Gayfer",,"Tim Harrison (Ind), Dean Ward (Ind)"
2023-11-09,"Powys",420,"Crickhowell/Cwmdu/Tretower",22454,"LD","Matt Beecham","Resignation","Went Ind","andrewteale.me.uk/iqww","Rosemarie Harris","Zoe Allan","Claire Hall",,,"Sam Games (Ind)"
2023-11-09,"Powys",420,"Crickhowell/Cwmdu/Tretower",22454,"LD","Sarah-Jane Beecham","Resignation","Went Ind","andrewteale.me.uk/iqww","David Thomas",,"Chloe Masefield",,,"David Markinson (Ind)"
2023-11-09,"S Holland",271,"Spalding St Paul's",8011,"SHolInd","Bailey Boulding","Resignation",,"andrewteale.me.uk/i1mh","Glynis Scalese","Aidan Forman",,,,"Vanessa Browning (S Holland Ind),Stephen Timewell (True Ind), Julian Wheeler (Ind)"
2023-11-09,"S Kesteven",272,"Grantham St Wulfram's",16690,"C","Ray Wootten","Death",,"andrewteale.me.uk/i1lr","Matt Bailey","Jonathan Cook","James Osborn","Anne Gayfer",,"Susan Swinburn (Ind), Dean Ward (Ind)"
2023-11-16,"Bolton",33,"Kearsley",23977,"OKearsly","Paul Heslop","Resignation",,"andrewteale.me.uk/iv9x","Malaika Dean","Jackie Schofield","Charles Cooper","Alan Johnson",,"Dale Gregory (Reform UK and Bolton for Change), Tracey Wilkinson (Farnworth and Kearsley First)"
2023-11-16,"Bolton",33,"Westhoughton N/Hunger Hill",23983,"C","Bernadette Eckersley-Fallon","Resignation",,"andrewteale.me.uk/i19x","Andrea Finney","Karen Millington","Deirdre McGeown","Wendy Shepherd",,"Jeff Armstrong (Reform UK and Bolton for Change), Jack Speight (Westhoughton First Inds)"
2023-11-16,"Ceredigion",418,"Aberystwyth Penparcau",22737,"PC","Steve Davies","Resignation",,"andrewteale.me.uk/i94w","Ewan Lawry","Alex Mangold","Bryony Davies",,"Shelley Childs","Tomi Morgan (Ind)"
2023-11-16,"Doncaster",49,"Rossington/Bawtry",15339,"Lab","Barry Johnson","Resignation",,"andrewteale.me.uk/i3cq","Carol Greenhalgh","Ken Guest",,,,"John Cooke (Ind), Surjit Singh Duhre (Reform UK)"
2023-11-16,"N Lanarks",438,"Motherwell SE/Ravenscraig",18488,"SNP","Agnes Magowan","Resignation",,"andrewteale.me.uk/ij8s","Oyebola Ajala","Kaye Harmon","Robert McGeorge","Derek Watson","Rosa Zambonini","Billy Acheson (British Unionists), Mark Shields (Alba), Neil Wilson (UKIP)"
2023-11-16,"N Somerset",101,"Wrington",16894,"Ind","Steve Hogg","Resignation",,"andrewteale.me.uk/i7sr","Annabel Tall","Steven Lister","Samantha Louden-Cooke","Thomas Daw",,
2023-11-22,"Powys",420,"Talybont-on-Usk",22497,"LD","Anita Cartwright","Resignation",,"andrewteale.me.uk/i0xw",,,,,,
2023-11-23,"Cambridge",140,"Queen Edith's",21326,"Ind","Sam Davies","Resignation",,"andrewteale.me.uk/ijvv",,,,,,
2023-11-23,"Newham",16,"Plaistow N",22152,"Lab","Daniel Lee-Phakoe","Resignation",,"andrewteale.me.uk/ikmw",,,,,,
2023-11-30,"Camden",4,"Highgate",21659,"Grn","Siân Berry","Resignation",,"andrewteale.me.uk/im5v",,,,,,
2023-11-30,"Durham",117,"Dawdon",14615,"Lab","Leanne Kennedy","Death",,"andrewteale.me.uk/i5pp",,,,,,
2023-11-30,"N Yorks",469,"Sowerby/Topcliffe",23504,"Grn","Dave Whitfield","Resignation",,"andrewteale.me.uk/ijvx",,,,,,
2023-12-07,"N Norfolk",278,"Briston",19731,"LD","Emma Coleman","Resignation",,"andrewteale.me.uk/i6du",,,,,,
,"Bromley",22,"Hayes/Coney Hall",22127,"C","Andrew Lee","Death",,"andrewteale.me.uk/itlw",,,,,,
,"Ches E",119,"Crewe C",10935,"Lab","Anthony Critchley","Resignation",,"andrewteale.me.uk/inbl",,,,,,
,"City of London",459,"Farringdon Wt",12942,"TFT","Caroline Addy","Resignation",,"andrewteale.me.uk/ig5m",,,,,,
,"Denbighshire",423,"Rhyl SW",22788,"Lab","Peter Prendergast","Death",,"andrewteale.me.uk/iu6w",,,,,,
,"Derbys Dales",166,"Norbury",23745,"C","Tony Morley","Death",,"andrewteale.me.uk/iu2x",,,,,,
,"Gwynedd",425,"Criccieth",23129,"Ind","Eirwyn Williams","Death",,"andrewteale.me.uk/i5hx",,,,,,
,"Herts CC",385,"Harpenden Rural",17814,"C","Annie Brewster","Resignation",,"andrewteale.me.uk/i3ms",,,,,,
,"IOW",87,"Ventnor/St Lawrence",21418,"C","Gary Peace","Resignation",,"andrewteale.me.uk/ibyv",,,,,,
,"N Kesteven",270,"Billinghay Rural",22301,"C","Gill Ogden","Death",,"andrewteale.me.uk/i2rw",,,,,,
